
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:3702           *:*                                    6128
  UDP    0.0.0.0:4500           *:*                                    5512
  UDP    0.0.0.0:5050           *:*                                    10108
  UDP    0.0.0.0:5353           *:*                                    6172
  UDP    0.0.0.0:5353           *:*                                    1028
  UDP    0.0.0.0:5353           *:*                                    6172
  UDP    0.0.0.0:5353           *:*                                    6172
  UDP    0.0.0.0:5353           *:*                                    6172
  UDP    0.0.0.0:5355           *:*                                    1028
  UDP    0.0.0.0:8976           *:*                                    14564
  UDP    0.0.0.0:55408          *:*                                    15812
  UDP    0.0.0.0:55410          *:*                                    15812
  UDP    0.0.0.0:55412          *:*                                    15812
  UDP    0.0.0.0:55414          *:*                                    15812
  UDP    0.0.0.0:55416          *:*                                    15812
  UDP    0.0.0.0:55418          *:*                                    15812
  UDP    0.0.0.0:55420          *:*                                    15812
  UDP    0.0.0.0:55422          *:*                                    15812
  UDP    0.0.0.0:55424          *:*                                    15812
  UDP    0.0.0.0:55426          *:*                                    15812
  UDP    0.0.0.0:56686          *:*                                    6128
  UDP    0.0.0.0:57144          *:*                                    15812
  UDP    0.0.0.0:58317          *:*                                    8852
  UDP    0.0.0.0:63661          *:*                                    14564
  UDP    10.249.5.23:137        *:*                                    4
  UDP    10.249.5.23:138        *:*                                    4
  UDP    10.249.5.23:1900       *:*                                    14492
  UDP    10.249.5.23:60050      *:*                                    14492
  UDP    10.249.131.92:137      *:*                                    4
  UDP    10.249.131.92:138      *:*                                    4
  UDP    10.249.131.92:1900     *:*                                    14492
  UDP    10.249.131.92:60051    *:*                                    14492
  UDP    127.0.0.1:1900         *:*                                    14492
  UDP    127.0.0.1:55407        *:*                                    15812
  UDP    127.0.0.1:55409        *:*                                    15812
  UDP    127.0.0.1:55411        *:*                                    15812
  UDP    127.0.0.1:55413        *:*                                    15812
  UDP    127.0.0.1:55415        *:*                                    15812
  UDP    127.0.0.1:55417        *:*                                    15812
  UDP    127.0.0.1:55419        *:*                                    15812
  UDP    127.0.0.1:55421        *:*                                    15812
  UDP    127.0.0.1:55423        *:*                                    15812
  UDP    127.0.0.1:55425        *:*                                    15812
  UDP    127.0.0.1:57143        *:*                                    15812
  UDP    127.0.0.1:58200        *:*                                    772
  UDP    127.0.0.1:59401        *:*                                    2816
  UDP    127.0.0.1:59550        *:*                                    1640
  UDP    127.0.0.1:60052        *:*                                    14492
  UDP    127.0.0.1:61227        *:*                                    7420
  UDP    127.0.0.1:61979        *:*                                    2668
  UDP    127.0.0.1:63645        *:*                                    344
  UDP    [::]:123               *:*                                    1880
  UDP    [::]:500               *:*                                    5512
  UDP    [::]:3389              *:*                                    1676
  UDP    [::]:3702              *:*                                    6128
  UDP    [::]:3702              *:*                                    6128
  UDP    [::]:3702              *:*                                    8852
  UDP    [::]:3702              *:*                                    8852
  UDP    [::]:3702              *:*                                    8852
  UDP    [::]:3702              *:*                                    8852
  UDP    [::]:4500              *:*                                    5512
  UDP    [::]:5353              *:*                                    6172
  UDP    [::]:5353              *:*                                    1028
  UDP    [::]:5353              *:*                                    6172
  UDP    [::]:5355              *:*                                    1028
  UDP    [::]:8976              *:*                                    14564
  UDP    [::]:56687             *:*                                    6128
  UDP    [::]:58318             *:*                                    8852
  UDP    [::]:63661             *:*                                    14564
  UDP    [::1]:1900             *:*                                    14492
  UDP    [::1]:51320            *:*                                    8116
  UDP    [::1]:60049            *:*                                    14492
  UDP    [fe80::321c:5347:8880:b608%11]:1900  *:*                                    14492
  UDP    [fe80::321c:5347:8880:b608%11]:60047  *:*                                    14492
  UDP    [fe80::dace:1126:a2f6:fd96%6]:1900  *:*                                    14492
  UDP    [fe80::dace:1126:a2f6:fd96%6]:60048  *:*                                    14492
